               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021374,            0.015901,           0.0041052,              0.8384,              0.7741,             0.85249,             0.69079,            0.020313,            0.017611,           0.0065925,            0.006535,            0.006535,            0.006535
                  37,            0.020691,            0.015018,           0.0039833,             0.82889,             0.79088,             0.85461,              0.6961,            0.020407,            0.017543,           0.0065855,            0.006436,            0.006436,            0.006436
                  38,            0.020674,            0.015607,           0.0040452,             0.81393,             0.80599,             0.85995,             0.69886,            0.020261,            0.017376,           0.0062768,            0.006337,            0.006337,            0.006337
                  39,            0.020446,            0.015346,           0.0038704,             0.84654,             0.77154,             0.85361,              0.6974,            0.020213,            0.017586,           0.0059182,            0.006238,            0.006238,            0.006238
                  40,            0.020335,            0.015008,           0.0036567,             0.83137,             0.78779,             0.86104,             0.70476,            0.020023,            0.017532,            0.005992,            0.006139,            0.006139,            0.006139
                  41,                0.02,            0.014937,           0.0036441,             0.84358,             0.78499,             0.85921,             0.70149,            0.020114,            0.017725,            0.005851,             0.00604,             0.00604,             0.00604
                  42,            0.019915,            0.014611,           0.0037002,             0.85915,             0.77762,             0.85679,             0.70004,            0.020104,             0.01781,           0.0059379,            0.005941,            0.005941,            0.005941
                  43,            0.019667,            0.014338,           0.0034804,             0.85006,             0.77005,             0.85141,             0.70059,             0.01989,            0.017795,           0.0061061,            0.005842,            0.005842,            0.005842
                  44,            0.020104,            0.014492,           0.0036659,             0.82918,             0.79525,             0.84891,             0.69195,            0.020109,            0.017692,           0.0060768,            0.005743,            0.005743,            0.005743
                  45,            0.019813,            0.014613,            0.003482,             0.81915,             0.79874,             0.85051,             0.69875,             0.01993,            0.017673,           0.0064083,            0.005644,            0.005644,            0.005644
                  46,            0.019835,            0.014762,            0.003691,             0.83606,             0.78682,             0.86046,             0.70871,            0.019794,            0.017617,            0.006256,            0.005545,            0.005545,            0.005545
                  47,            0.019256,            0.013936,           0.0033672,             0.84504,             0.78456,              0.8599,             0.71057,            0.019623,            0.017435,           0.0062812,            0.005446,            0.005446,            0.005446
                  48,            0.019103,            0.014245,           0.0035235,             0.84657,             0.77756,             0.85282,             0.70231,            0.019642,            0.018286,           0.0062248,            0.005347,            0.005347,            0.005347
                  49,            0.018849,            0.013844,           0.0031146,             0.84381,             0.78197,             0.85679,             0.70881,            0.019622,            0.017679,           0.0065468,            0.005248,            0.005248,            0.005248
                  50,            0.018839,             0.01411,           0.0031443,             0.83753,             0.79927,             0.86184,             0.71432,            0.019373,            0.017473,           0.0059709,            0.005149,            0.005149,            0.005149
                  51,            0.018855,            0.014054,            0.003251,             0.83708,             0.80538,             0.86034,             0.71081,            0.019397,            0.017843,           0.0059753,             0.00505,             0.00505,             0.00505
